,ARS,지하철역
842,3344,효창공원앞
843,3345,서울역
844,3346,효창공원앞
845,3500,한강진
846,3501,녹사평(용산구청)
847,3502,한강진
848,3503,녹사평(용산구청)
849,3504,한강진
850,3505,이태원
851,3506,녹사평(용산구청)
852,3508,효창공원앞
853,3509,이태원
854,3510,녹사평(용산구청)
855,3511,효창공원앞
856,3512,녹사평(용산구청)
857,3513,녹사평(용산구청)
858,3515,공덕
859,3516,녹사평(용산구청)
860,3517,숙대입구(갈월)
861,3518,이태원
862,3519,공덕
863,3520,효창공원앞
864,3521,숙대입구(갈월)
865,3522,이태원
866,3523,효창공원앞
867,3524,녹사평(용산구청)
868,3525,숙대입구(갈월)
869,3526,이태원
870,3527,효창공원앞
871,3529,숙대입구(갈월)
872,3530,이태원
873,3532,숙대입구(갈월)
874,3533,이태원
875,3534,효창공원앞
876,3536,숙대입구(갈월)
877,3537,이태원
878,3540,숙대입구(갈월)
879,3541,숙대입구(갈월)
880,3542,이태원
881,3543,효창공원앞
882,3544,효창공원앞
883,3545,이태원
884,3546,효창공원앞
885,3549,이태원
886,3550,효창공원앞
887,3551,삼각지
888,3552,삼각지
889,3553,이태원
890,3557,이태원
891,3560,이태원
892,3561,신용산
893,3563,이태원
894,3564,신용산
895,3565,숙대입구(갈월)
896,3566,이태원
897,3567,삼각지
898,3568,숙대입구(갈월)
899,3569,이태원
900,3571,서울역
901,3572,이태원
902,3573,녹사평(용산구청)
903,3574,숙대입구(갈월)
904,3575,이태원
905,3577,숙대입구(갈월)
906,3578,이태원
907,3579,녹사평(용산구청)
908,3580,숙대입구(갈월)
909,3581,녹사평(용산구청)
910,3582,숙대입구(갈월)
911,3583,이태원
912,3584,숙대입구(갈월)
913,3585,이태원
914,3586,숙대입구(갈월)
915,3588,숙대입구(갈월)
916,3589,녹사평(용산구청)
917,3590,녹사평(용산구청)
918,3591,녹사평(용산구청)
919,3592,녹사평(용산구청)
920,3593,녹사평(용산구청)
921,3594,숙대입구(갈월)
922,3595,마포
923,3596,서울역
924,3597,서울역
925,3598,서울역
926,3648,이촌(국립중앙박물관)
927,3649,이촌(국립중앙박물관)
928,3680,한강진
929,3688,서울역
930,3689,마포
931,3699,서울역
932,3700,서울역
933,3709,마포
934,3710,이촌(국립중앙박물관)
935,3723,이태원
936,3726,한강진
937,3728,이촌(국립중앙박물관)
938,3729,이촌(국립중앙박물관)
939,3730,이촌(국립중앙박물관)
940,3732,이촌(국립중앙박물관)
941,3733,이촌(국립중앙박물관)
942,3734,이촌(국립중앙박물관)
943,3735,이촌(국립중앙박물관)
944,3736,이태원
945,3737,효창공원앞
946,3738,녹사평(용산구청)
947,3740,이태원
948,3742,이태원
949,3743,삼각지
950,3744,삼각지
951,3748,옥수
