,역명,지하철역
530,이촌동점보아파트,이촌(국립중앙박물관)
531,이촌동현대아파트,이촌(국립중앙박물관)
532,금강병원.반도아파트,이촌(국립중앙박물관)
533,서빙고신동아아파트,이촌(국립중앙박물관)
534,손기정체육공원,서울역
535,숙명여대도서관앞,숙대입구(갈월)
536,숙명여대정문,효창공원앞
537,숙명여대후문.이봉창활동터,효창공원앞
538,효창공원후문,효창공원앞
539,한겨레신문사입구,효창공원앞
540,대한노인회,효창공원앞
541,효창운동장.효창동주민센터,효창공원앞
542,국민은행효창동지점,효창공원앞
543,서울금양초등학교.국민은행효창동지점,효창공원앞
544,효창공원역,효창공원앞
545,도원삼성래미안아파트,효창공원앞
546,중앙하이츠빌라앞,효창공원앞
547,용문시장,효창공원앞
548,용산전자상가입구,효창공원앞
549,신용산.지하차도,신용산
550,용산역,신용산
551,용산푸르지오써밋,신용산
552,용산역광장앞,신용산
553,용산공고,신용산
554,용산세무서,이촌(국립중앙박물관)
555,이촌역,이촌(국립중앙박물관)
556,국립중앙박물관용산가족공원,이촌(국립중앙박물관)
557,서빙고역교차로,이촌(국립중앙박물관)
558,서빙고초등학교,이촌(국립중앙박물관)
559,금호베스트빌앞,이촌(국립중앙박물관)
560,서빙고동,이촌(국립중앙박물관)
561,서빙고동주민센터,이태원
562,동빙고동,이태원
563,보광신동아아파트삼성리버빌아파트,이태원
564,보광동신동아아파트,이태원
565,보광동주민센터,이태원
566,기업은행보광동지점,이태원
567,한국폴리텍1대학,이태원
568,이태원역.보광동 입구,이태원
569,이태원역.보광동입구,이태원
570,한남역.용산노인종합복지관,이태원
571,이촌119안전센터.성촌공원,마포
572,성촌공원.포르쉐센터용산,마포
573,이촌2동주민센터,신용산
574,이촌2동대림아파트.새남터성지,신용산
575,서부이촌동입구,신용산
576,이촌2동강변아파트,신용산
577,원효2동산호아파트후문,마포
578,청암동강변삼성아파트,마포
579,원효2동산호아파트,마포
580,원효로풍전아파트,마포
581,원효풍전아파트,효창공원앞
582,원효2동주민센터,마포
583,산천동리버힐삼성아파트,마포
584,산천동,마포
585,신창동세방아파트,효창공원앞
586,남이장군사당,효창공원앞
587,순천향병원입구,한강진
588,남산서울타워,충무로
589,청심경로당,마포
590,삼성테마트,마포
591,서빙고동금호베스트빌,이태원
592,한남동하이페리온,이태원
593,문배동이안아파트앞,삼각지
594,갈월동4호선숙대입구,숙대입구(갈월)
595,삼각지역11번출구,삼각지
596,숙대입구,숙대입구(갈월)
597,숙명여대입구,숙대입구(갈월)
598,한강대교전망카페,신용산
599,노들섬,신용산
600,용암초등학교.이태원2동주민센터,한강진
601,효창공원삼거리.윤봉길의사등묘역,효창공원앞
602,서울역공항철도15번출구.국립극단,서울역
603,용산꿈나무종합타운,효창공원앞
604,한신아파트,녹사평(용산구청)
605,순천향병원,한강진
606,용암경로당입구,녹사평(용산구청)
607,한남오거리,한강진
608,가야랑앞,이태원
609,용암한신아파트,녹사평(용산구청)
610,디지텍고등학교앞,이태원
611,우리들가정의원,녹사평(용산구청)
612,도원삼성래미안아파트101동앞,효창공원앞
613,성도약국,녹사평(용산구청)
614,남산교회입구,녹사평(용산구청)
615,신애교회,공덕
616,시장,녹사평(용산구청)
617,해방촌오거리,숙대입구(갈월)
618,대한노인회중앙회,공덕
619,신흥교회앞,숙대입구(갈월)
620,군인아파트,이태원
621,원효사.백범김구기념관,효창공원앞
622,큰빛의집앞,숙대입구(갈월)
623,캐피탈호텔,이태원
624,후암동종점,숙대입구(갈월)
625,크라운호텔,이태원
626,용산고등학교,숙대입구(갈월)
627,외빈차고,이태원
628,갈월동사회복지회관,숙대입구(갈월)
629,청화아파트,이태원
630,숙대역7번출구,숙대입구(갈월)
631,보광동삼거리,이태원
632,중앙하이츠빌라,효창공원앞
633,원효우체국,효창공원앞
634,보광초등학교,이태원
635,용문동시장.새마을금고,효창공원앞
636,수미용실,이태원
637,용문동주민센터,효창공원앞
638,문배어린이공원,삼각지
639,영동김밥,이태원
640,도깨비시장,이태원
641,리버힐빌라앞,이태원
642,보광교회,이태원
643,KT용산지점,신용산
644,숙대역5번출구,숙대입구(갈월)
645,이슬람사원,이태원
646,보광초등학교후문앞,이태원
647,동자경로당,서울역
648,이태원역앞,이태원
649,녹사평역.용산구청,녹사평(용산구청)
650,이태원랜드,이태원
651,후암동주민센터앞,숙대입구(갈월)
652,제일기획,이태원
653,대성교회,녹사평(용산구청)
654,용산고,숙대입구(갈월)
655,갑을빌딩,숙대입구(갈월)
656,리버힐삼성아파트후문,마포
657,만리시장입구,서울역
658,배문중고등학교,서울역
659,청파초등학교,서울역
660,동부이촌동,이촌(국립중앙박물관)
661,강촌APT,이촌(국립중앙박물관)
662,그랜드하얏트호텔,한강진
663,청암자이아파트,마포
664,배문중고교,서울역
665,신동아APT,이촌(국립중앙박물관)
666,이촌동두산위브트레지움,이촌(국립중앙박물관)
667,이촌현대아파트.금강병원,이촌(국립중앙박물관)
668,한남역,이태원
669,도원삼성래미안아파트단지내,효창공원앞
670,IP부띠끄호텔,이태원
671,용산CJ나인파크,삼각지
672,이집트대사관.한남더힐아파트,옥수
673,필리핀대사관,한강진
674,서울드래곤시티용산,신용산
675,국립중앙박물관,이촌(국립중앙박물관)
676,이태원,이태원
677,답십리역사거리,답십리
678,청년회의소.서울새활용플라자,장한평
679,장한평역,장한평
680,상왕십리역,상왕십리
681,왕십리센트라스아파트,상왕십리
682,왕십리교회,신당
683,뉴타운아파트,상왕십리
684,청계벽산아파트.텐즈힐아파트,상왕십리
685,왕십리도선동주민센터,신당
686,왕십리2동주민센터,왕십리(성동구청)
687,코스모타워.서울신용보증재단성동지점,상왕십리
688,성동구청,왕십리(성동구청)
689,마장동주민센터,마장
690,마장역,마장
691,성동노인복지관,마장
692,마장축산물시장,마장
693,도선사거리,왕십리(성동구청)
694,마장동금호아파트,마장
695,한양대부속고등학교,한양대
696,한양대앞.한양시장,한양대
697,한양대앞,한양대
698,한양대정문,한양대
699,한양대정문앞,한양대
700,무학여고앞,행당
701,무학여고,행당
702,왕십리역,행당
703,행당1동주민센터.성동소방서,한양대
704,행당동삼부아파트,한양대
705,응봉동주민센터,행당
706,응봉사거리,행당
707,응봉동현대아파트,행당
708,대경중입구,신금호
709,신금호역,신금호
710,금호고등학교,신금호
711,금호고등학교.금호자이1차아파트입구,신금호
712,금호동벽산아파트,신금호
713,래미안하이리버아파트,신금호
714,금호사거리,신금호
715,금남시장앞.백범학원터,금호
716,금호역,금호
717,금옥초등학교앞,금호
718,힐스테이트서울숲리버아파트,신금호
719,삼성래미안아파트앞,신금호
720,옥수동삼성아파트,옥수
721,미타사입구,금호
722,래미안옥수리버젠.옥수중앙교회,금호
723,옥수파크힐스아파트앞,금호
724,옥수동종점,금호
725,옥정중학교입구,옥수
726,성수1가1동새마을금고,성수
727,성수1가새마을금고,성수
728,천주교성수동성당앞,뚝섬
729,뚝도아리수정수센터수도박물관,뚝섬
730,서울숲,뚝섬
731,성동구민종합체육센타,뚝섬
732,성수공고앞,성수
733,경일초등학교입구,뚝섬
734,성동교남단,뚝섬
735,상원,뚝섬
736,영동대교북단,뚝섬유원지
737,노룬산시장앞,건대입구
738,성수119안전센터,뚝섬유원지
739,경수중학교,성수
740,뚝도시장,성수
741,성원중성수동이마트앞,성수
742,서울숲지구대앞,성수
743,뚝도시장구길,성수
744,성수동대호빌라입구,성수
745,영동대교,뚝섬유원지
746,화양사거리,어린이대공원(세종대)
747,성수초등학교,건대입구
748,서울효사랑병원,건대입구
749,성수2가3동주민센터,성수
750,제인병원,성수
751,성동세무서앞,성수
752,성동세무서,성수
753,송정동서울숲아이파크,어린이대공원(세종대)
754,송정동건영아파트,군자(능동)
755,군자교남단,군자(능동)
756,신답역,신답
757,용답동동부시장답십리역,답십리
758,서울교통공사.서울새활용플라자,장한평
759,뚝섬서울숲,뚝섬
760,사근동하이츠아파트앞,용답
761,사근동주민센터,한양대
762,사근고개,한양대
763,한양지구대,한양대
764,사근동벽산아파트,용답
765,뚝섬역8번출구,뚝섬
766,뚝섬역2번출구,뚝섬
767,뚝섬역3번5번출구,뚝섬
768,뚝섬역4번출구,뚝섬
769,성수역,성수
770,성수동SK아파트형공장앞,뚝섬
771,경동초등학교입구,뚝섬
772,경일초등학교앞,성수
773,한양여대앞,한양대
774,도선고등학교.꽃재교회,상왕십리
775,리버하우스,뚝섬
776,성수사거리,성수
777,성동제일새마을금고,한양대
778,청계9가.비우당교,신설동
779,뚝섬서울숲남문,뚝섬
780,신답역명문예식장,신답
781,극동그린아파트앞,옥수
782,행당신동아.행당푸르지오아파트,행당
783,숭신초등학교,상왕십리
784,극동아파트,신금호
785,풍림아파트,신금호
786,벽산아파트,신금호
787,대림아파트,신금호
788,행당역,행당
789,극동그린아파트,옥수
790,성수동차고지,성수
791,제민약국,뚝섬유원지
792,왕십리자이.신당현대아파트,신당
793,우리은행화양동지점,어린이대공원(세종대)
794,황학교.텐즈힐몰,신당
795,마장동주민센타,마장
796,왕십리광장.왕십리역7번출구,왕십리(성동구청)
797,왕십리광장.왕십리역4번출구,왕십리(성동구청)
798,한양대동문앞,한양대
799,행당중학교,한양대
800,송정동현대아이파크아파트,어린이대공원(세종대)
801,극동아파트5동,버티고개
802,대우아파트관리실,금호
803,두산아파트정문.금호역,금호
804,옥수역,옥수
805,송정동자치회관입구,어린이대공원(세종대)
806,대우아파트후문,금호
807,금호1가동주민센터,신금호
808,왕십리민자역사,왕십리(성동구청)
809,무쇠막,옥수
810,럭키슈퍼,어린이대공원(세종대)
811,금옥초등학교입구,금호
812,대경정보산업고등학교,신금호
