역명,상세주소,경도,위도,상태
삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),126.973196671288,37.534642221923,정좌표
녹사평(용산구청),서울특별시 용산구 용산동 4가 4 녹사평역,126.985499753484,37.5344347836832,정좌표
이태원,서울특별시 용산구 이태원동 119-23 이태원역,126.99462479235201,37.5345372189526,정좌표
한강진,서울특별시 용산구 한남동 726-494 한강진역,127.00181579001301,37.5407965317585,정좌표
버티고개,서울특별시 중구 신당동 366-454 버티고개역,127.00704198950199,37.5481783024044,정좌표
약수,서울특별시 중구 신당동 369-2 약수역(6호선),127.010470797896,37.5547537385948,정좌표
청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",127.013845560406,37.5603375100209,정좌표
신당,서울특별시 중구 흥인동 162-1 신당역(6호선),127.016199078404,37.5672362037259,정좌표
동묘앞,서울특별시 종로구 창신동 263-2 동묘앞역(6호선),127.015598097167,37.5727679325639,정좌표
창신,서울특별시 종로구 창신동 20-8 창신역,127.015163624618,37.579438890371,정좌표
보문,서울특별시 성북구 보문동 1가 127-1 보문역,127.01968981508101,37.585766448732,정좌표
안암(고대병원앞),서울특별시 성북구 안암동5가 146-1 안암역,127.029372737133,37.5861259778259,정좌표
고려대(종암),서울특별시 성북구 종암동 29-18 고려대역,127.03609058491101,37.5905304754728,정좌표
월곡(동덕여대),서울특별시 성북구 하월곡동 35-1 월곡역,127.04138942986,37.601739452348795,정좌표
상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역,127.049804471697,37.6070769906362,정좌표
돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역,127.057119746987,37.610594958857796,정좌표
석계,서울특별시 노원구 월계동 25-2 석계역,127.06679075457899,37.615260099715705,정좌표
태릉입구,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",127.075109364247,37.6191336882107,정좌표
화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2 화랑대역,127.083260562903,37.6198868426499,정좌표
봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역,127.09328933452801,37.6164148177743,정좌표
